New Zoning,Old Zoning,New maximum residency,Old maximum residency,New maximum sqft.,Old maximum sqft.,Distance to Closest Rapid Transit (meters)
RM-1,R10 RES3,94.0,94.0,41761.00041924769,42297.92756749517,118.67445767894316
CMX-3,RC3 RES6,418.3,244.4,188039.802064652,109689.88453771367,444.41461255904164
CMX-2,C2 COM1,188.0,188.0,84392.29923509381,84392.29923509381,865.6774491504403
CMX-1,C1 COM1,2.35,2.35,1864.7553311174393,1864.7553311174393,294.9481322617849
RSA-5,R10A RES2,25.85,25.85,34911.76263980099,34911.76263980099,289.13757068723703
RM-1,R10 RES3,51.7,51.7,22353.155275380603,22640.552986064075,651.2229872995337
CMX-4,C4 COM5,373.65000000000003,373.65000000000003,167998.10547775292,167998.10547775292,102.55157918532016
CMX-2.5,C2 COM1,173.9,141.0,78162.4825981258,62529.986078500646,210.2438204582993
RSA-5,R9A RES2,47.0,47.0,61959.29896534054,61959.29896534054,230.94424175522008
RSA-5,R9A RES2,30.55,30.55,42632.57465793851,42632.57465793851,1556.8640541117231
CMX-2,C2 COM1,21.150000000000002,21.150000000000002,8741.151709263555,8741.151709263555,888.7417299815044
CMX-4,C4 COM5,218.55,218.55,97970.89718275605,97970.89718275605,174.58929068138923
RM-1,R10 RES3,293.75,298.45,131814.79868488945,133509.56038226665,872.748505987721
RM-1,R10 RES3,314.90000000000003,317.25,140806.95981321632,142617.33501081483,826.3744840283105
RSA-5,R9A RES2,32.9,32.9,43269.80081951372,43269.80081951372,176.96880453841848
CMX-2,C2 COM1,11.75,11.75,4973.701397142853,4973.701397142853,792.7564647174477
RSA-5,R10A RES2,2.35,2.35,5623.053416916174,5623.053416916174,143.43394702461646
RM-1,R9 RES3,86.95,89.3,38767.6345388469,39266.07555434636,1559.490118243764
I-2,G2 IND3,0.0,0.0,35643.90592001395,35643.90592001395,757.5362904896504
RM-1,R10 RES3,58.75,58.75,25635.806573512666,25965.409800886402,238.76661005537136
RSA-5,R9A RES2,30.55,30.55,42633.07033965766,42633.07033965766,1558.3576594499689
CMX-2,C2 COM1,11.75,11.75,4324.667330278933,4324.667330278933,395.60043136561427
CMX-5,C5 COM5,547.5500000000001,547.5500000000001,245656.52778799023,245656.52778799023,130.05349772446218
RSA-5,R10A RES2,54.050000000000004,54.050000000000004,71374.54370314078,71374.54370314078,796.8571531989766
CMX-2,C2 COM1,65.8,65.8,28558.468183514175,28558.468183514175,146.86816501760987
RSA-5,R10A RES2,16.45,16.45,22247.924732816857,22247.924732816857,1219.341011532392
RSA-5,R10A RES2,79.9,79.9,105435.44812001022,105435.44812001022,1583.019444211324
CMX-1,C1 COM1,2.35,2.35,2757.904041395158,2757.904041395158,1350.2698948383847
